* ItemNumber,* SourceBin,* DestinationBin,* MoveType,* Quantity,DestinationStagingHeader,,Possible values for MoveType Field
,,,,,,,Inventory To Inventory
,,,,,,,Inventory To Staging
,,,,,,,Staging To Inventory
,,,,,,,Staging To Staging
